latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-41.12043,147.76398,303.04,1.12,1.05,2023-03-10,0000,T,55,6.1NRT,290.77,5.87,D
-24.69123,-42.51193,305.46,4.03,1.86,2023-03-10,0032,T,31,6.1NRT,290.74,39.08,N
-20.76072,-37.38791,305.79,1.51,1.21,2023-03-10,0034,T,37,6.1NRT,294.94,6.52,N
-12.39993,-38.09138,304.99,1.31,1.13,2023-03-10,0034,T,62,6.1NRT,291.67,7.92,N
-11.51012,-43.33888,304.08,3.16,1.68,2023-03-10,0037,T,58,6.1NRT,292.16,26.46,N
-11.51105,-43.34385,303.47,3.16,1.68,2023-03-10,0037,T,55,6.1NRT,292.17,25.86,N
-10.22586,-36.54268,325.37,1.05,1.02,2023-03-10,0037,T,100,6.1NRT,295.73,23.35,N
-10.22714,-36.55209,316.59,1.05,1.02,2023-03-10,0037,T,93,6.1NRT,295.22,14.09,N
-10.16384,-36.35798,351.41,1.03,1.02,2023-03-10,0037,T,100,6.1NRT,296.77,66.68,N
-10.15481,-36.35926,311.28,1.03,1.02,2023-03-10,0037,T,81,6.1NRT,295.08,8.9,N
-10.15609,-36.36853,305.37,1.03,1.02,2023-03-10,0037,T,60,6.1NRT,295.14,4.62,N
-10.17401,-36.56582,309.19,1.05,1.02,2023-03-10,0037,T,75,6.1NRT,295.75,7.22,N
-10.16364,-36.5577,364.59,1.05,1.02,2023-03-10,0037,T,100,6.1NRT,297.38,103.53,N
-10.16492,-36.56709,392.41,1.05,1.02,2023-03-10,0037,T,100,6.1NRT,300.84,223.44,N
-10.16621,-36.57652,308.06,1.05,1.02,2023-03-10,0037,T,60,6.1NRT,295.59,5.92,N
-10.09952,-36.29165,307.72,1.03,1.01,2023-03-10,0037,T,70,6.1NRT,295.17,6.24,N
-10.09051,-36.29295,314.94,1.03,1.01,2023-03-10,0037,T,90,6.1NRT,295.16,11.89,N
-10.09177,-36.30214,308.87,1.03,1.01,2023-03-10,0037,T,74,6.1NRT,295.09,7.11,N
-10.01722,-36.56195,315.04,1.05,1.02,2023-03-10,0037,T,90,6.1NRT,294.77,12.74,N
-10.01851,-36.5713,304.85,1.05,1.02,2023-03-10,0037,T,58,6.1NRT,294.7,5,N
-9.3799,-35.95103,306.96,1.01,1,2023-03-10,0037,T,70,6.1NRT,292.61,6.91,N
-10.43803,-44.51761,300.85,3.78,1.82,2023-03-10,0037,T,34,6.1NRT,288.85,27.64,N
-8.58372,-35.13128,302.77,1.01,1,2023-03-10,0037,T,51,6.1NRT,277.78,5.84,N
-9.07728,-40.38935,312.27,1.7,1.28,2023-03-10,0037,T,75,6.1NRT,286.97,30.44,N
-7.55327,-35.20288,300.87,1.01,1,2023-03-10,0037,T,29,6.1NRT,282.43,4.83,N
-11.37208,130.47508,313.3,1.19,1.09,2023-03-10,0132,T,57,6.1NRT,295.45,8.57,D
-17.52487,126.60371,343.74,1,1,2023-03-10,0134,T,91,6.1NRT,310.1,38.27,D
-17.52622,126.61301,330.33,1,1,2023-03-10,0134,T,79,6.1NRT,309.88,16.12,D
-17.53379,126.60235,333.64,1,1,2023-03-10,0134,T,82,6.1NRT,306.89,21.1,D
-17.55162,126.59959,328.71,1,1,2023-03-10,0134,T,59,6.1NRT,308.1,14.61,D
-17.55297,126.60888,390.63,1,1,2023-03-10,0134,T,100,6.1NRT,314.69,187.72,D
-17.55432,126.61817,330.6,1,1,2023-03-10,0134,T,55,6.1NRT,310.67,13.46,D
-17.5837,126.62617,331.6,1,1,2023-03-10,0134,T,80,6.1NRT,307.88,20.18,D
-17.58504,126.63546,320.81,1,1,2023-03-10,0134,T,44,6.1NRT,308.9,7.16,D
-17.59714,126.71917,342.61,1,1,2023-03-10,0134,T,90,6.1NRT,309.9,35.56,D
-17.59849,126.72851,327.74,1,1,2023-03-10,0134,T,75,6.1NRT,309.14,14.18,D
-17.60961,126.67923,323.86,1,1,2023-03-10,0134,T,61,6.1NRT,307.9,8.46,D
-17.61096,126.68854,325.03,1,1,2023-03-10,0134,T,67,6.1NRT,308.33,9.6,D
-17.88562,125.55278,327.89,1.02,1.01,2023-03-10,0134,T,75,6.1NRT,310.58,14.06,D
-17.88601,125.49443,321.61,1.02,1.01,2023-03-10,0134,T,39,6.1NRT,310.08,7.77,D
-17.88745,125.50394,322.61,1.02,1.01,2023-03-10,0134,T,49,6.1NRT,310.79,8.44,D
-17.89358,125.48347,337.19,1.02,1.01,2023-03-10,0134,T,85,6.1NRT,308.13,28.56,D
-17.89502,125.49298,357.53,1.02,1.01,2023-03-10,0134,T,98,6.1NRT,311.58,70.81,D
-17.89645,125.50249,328.52,1.02,1.01,2023-03-10,0134,T,76,6.1NRT,309.63,15.76,D
-17.9678,125.42603,324.94,1.02,1.01,2023-03-10,0134,T,69,6.1NRT,309.3,11.61,D
-17.97537,125.41506,337.8,1.02,1.01,2023-03-10,0134,T,86,6.1NRT,308.83,27.49,D
-17.97682,125.42459,329.91,1.02,1.01,2023-03-10,0134,T,78,6.1NRT,307.77,16.16,D
-17.99507,125.1164,329.81,1.04,1.02,2023-03-10,0134,T,47,6.1NRT,308.88,15.33,D
-18.47174,127.83041,326.85,1.06,1.03,2023-03-10,0134,T,43,6.1NRT,312.04,9.99,D
-18.47864,127.8802,341.14,1.07,1.03,2023-03-10,0134,T,88,6.1NRT,313.71,29.76,D
